DealerId,vin,year,price,make,model,style,transmission,engine,mileage,color,stocknum,driveType,vehicleListPrice,PhotoURLs
,1D7HA16N45J620818,2005,8900,Dodge,Ram 1500,2dr Reg Cab 120.5 WB ST,Automatic,8,79390,Bright White,620818,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/6901c705982c4e6d92b519bde79b1c8c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ceb79cb381e3419ead72936da9588b30.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ad429e41df4f4b2c913728a63687e362.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/749537c2625e45cabd1e3114e552d54e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c219dafc52e74d8aa76bbd6cf44929df.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1e512d5306bc48768431cdc5a61624cb.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3acb993eefe04e58bb573a1eb3fbc966.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e2885d0f37254faf84406dd3e2a64ab5.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e1c23de6aad845a19098f91d1bb6640a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/013cc142a0224ba69bb3394c4d6dfefb.jpg']}"
,3C6TRVBG4KE556744,2019,28900,Ram,ProMaster Cargo Van,1500 High Roof 136 WB,Automatic,6,41021,Bright White Clearcoat,556744,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/8a19f291a3124d759a58dc528db91783.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e972c29f4490495d9cd960814723b183.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b3259bca1c6b4a73aa3c88886cdc34de.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7787dd597e524b81938369c14d5b377c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/457415ff41e5469ca509881dce94ad6d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/fdbd2064bfa6430b8e64684f01a07ddf.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4ef1c523430e4a2b92a66f53a4b970ee.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a0e7cf16d29a48b0813de4ca8f20a266.jpg']}"
,JF1VA1A61L9813543,2020,24900,Subaru,WRX,Manual,Manual,4,49759,Lapis Blue Pearl,813543,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/144aa034495044128543b21f065c6df9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1b7bfa05a0ec441082015c05a651ba19.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4696d78b8cac4f96b593e61e1d0fd6ff.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/65087685ac3d4b0ca0dafcbebae60c80.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7940af73a4e94c4c9f68da202b87c41a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/dc74b963339c4d8e9306bb0e5f00a3fa.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ad04f7a2f3b049fa8c37cf894c724636.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/83ec8061c3ac42f79413a607c29a1500.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4063c5fe260d4510b0ab7011195efd13.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e30d8ab77d4541eb9cc9eae026856960.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/15f39dcbdfe04468aec594aa1f8a4403.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/547e8277a84e4508b74d8876168d108b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e4c3acfa4f5d4857b5ce258f56f1c8c6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/158d3a2d93fc440a88ff62ee251e9b5c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3bcc701b6a79464e899fe75a87e06e9b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5a65aedc806141129d19b15893da17a1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/10d8b5f5a8634924ab5780759b4912fd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6861c4b8cca14219a76a5421bbdfec34.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/cccec35c5de64b9180e502542fe87546.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/79bfa54490f349298a90cc3dce0a7a74.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/90c61a8fca3d4ca7880b4597f048a0c0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9f53525af2094c369c570c3801c66e92.jpg']}"
,1G1RC6S56HU183699,2017,15700,Chevrolet,Volt,5dr HB LT,Automatic,4,51971,Mosaic Black Metallic,183699,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/8b776bdf4f4b42fb9e5082ea34969fe7.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8f67e81f17ca4045b8aaa67de956a616.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/786ef1403a26430dbfde96f4ed04b3b1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9ca5d4f27f9244889cfaa9d3e70b2b4d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a51ce66784de4b19990e4b6426cef7d7.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/834053ca48f34b24bf4f99320de4e833.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/adb855b09aab49e19cbbf2ccf99bdab7.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/588368c2ccd2424a8717de99580b5008.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9823d1d7c0f24bc38043fb955b16a412.jpg']}"
,3VWD17AJ0EM288053,2014,10900,Volkswagen,Jetta Sedan,4dr Auto SE PZEV,Automatic,4,78924,Pure White,288053,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/e80893217fcc4491af91d344ef3780e3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8ed698e38a76495f9fd9aec87ab792e0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ec7c3c56cc6e43ff85017cdb0990d1fc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/868b47095b764d2e8027308938d2fc87.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3bc0b2d965844471a85627c122f3335f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8663fcaf159e43bfad5d8e6323f57dbe.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4073679198434879a052bb00ac92a526.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e602bb374b434320b48495a85e201fd9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e5bf390348714178a234cee1c1214840.jpg']}"
,1C4RJFBG6MC581316,2021,27900,Jeep,Grand Cherokee,Limited 4x4,Automatic,6,40809,Billet Silver Metallic Clearcoat,581316,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/c7147b35a9d6441d904cfd6a28944e42.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b2789f22ecec4c7491201775daf1f244.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ec9e4838fe6d4fa89d5147f7d3b8f79f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3412a81ae99a4d3fb2fa7b31f00bbf50.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8327e3bdcd8f4226ade8ad43273a8177.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6a4870f7af6247fb9a3aab38a2215170.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/159b310a1327437c8c99a5d16f1c5f16.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a9499daa58e7412ab6cf0341c04eda18.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/21def2908a5844279adc510ddaa6bbfe.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/48ec51be2d794a1792c23919a895a74c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d705c9ed89654cf7bcf79e62062cf14e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/441dba6d2d404ef7847c83562e5be883.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e3ac49450df04288b34e5c6881e41f41.jpg']}"
,JF2GTHNC1MH389957,2021,25900,Subaru,Crosstrek,Limited CVT,Variable,4,36935,Crystal White Pearl,389957,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/d3a6897a1d4c4783a0b1b68625779c58.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/696da2a1391a46ab997760e180198a07.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5ac104cdbeb640978a464a7c3ce78894.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/fee5f5e1895c4dc8908c667b3a095cf5.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/24c45df8cf63436ab1751a27adbb78b7.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/bd19a8caafdb4b19a3077413918e407b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d64e09a9190045c39b4822a2e428dbbc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5ccefcc28f0c4d34b54ddf8b3518aa81.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/59ea59a0d28948eda71632d6db53aa89.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ce82f60d22dc4c70a915e772778f2d18.jpg']}"
,KMHC75LC0JU061706,2018,18200,Hyundai,Ioniq Hybrid,SEL Hatchback,Automatic,4,23653,Ceramic White,061706,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/c33186612af04d61b2d0810047a3fad8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f8e72040cb5a468387778d76a01bb2d5.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b8ebc329c1154d6caf99c2244864f0d1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/bbeab5c5cade4b9fac0f5ba43a1ec693.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d64e3b334e6745e2988f43e04fb03c89.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e1e0994c4e9840b5a10ecd2ac33aa259.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1347c7b487a544eba820a5cd650614bf.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b243dd5a65f5473f8fed1fc9bc6f8e3d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/19a88d34c4b947689980d192c981cce6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0e10c90ae9314cd5aea7fdcbc053b673.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a7adc7466dc94d77912eb56c151479fb.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9ecff7115d6544a29283063ec41d7b27.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/2d4842f0642742389f710d769c98bbe8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d16fead5d59c4752b350d9c0f7b13a53.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1a3a57629627406f91c0478b9e9b9ecd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a05b3d96c6974eb0a35107e23c22ba19.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a4eadc3676474b74b0b9e4cb7fa7a72b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5e49309657b348979d8c6e63b74d40b4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0d9ae23955ff4a12bfc6707ba3285095.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3829aa4ddd0842d4b422d6d0c8ae931a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/07271d1c06c740719cfa60aa400486a4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4d501a2b73c4422291fec8885a4c7323.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/df7c784820e6428f94101cc302a14e1a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d55269c6e5cd40e49b7cdbab02adc4a6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c248dc36edda49959993a7cfc3162fcf.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/56261d6cb3a34c39b86c551ee125aa27.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/66cddedc67e14f4eb38ff36d38740f8a.jpg']}"
,3VW4T7AJ0FM293880,2015,13900,Volkswagen,Jetta Sedan,4dr Auto 2.0T GLI SE PZEV,Automatic,4,77439,Pure White,293880,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/b941af6242004f4db46a3a9e0e709b9c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/728af00276634b42a09709f1e5b21de4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5ef5a3c4ed8d44cea356a84a326b0b5c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/294b49c906db46c3a0aa8500d8f10b85.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/2896adae48b042d69a85075db334238a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9dfb42eeae56415f9611d4263031e8e0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5472bacce70c49fd921db1a0551e4726.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f734abdae36643e582be20d4c97ac309.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a9e84b9c24cb4ec988ab4a0dbbfc16e1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9727663ab98042b1a96bd2e8f3334de8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/788bc69e769b4d65bb066d37414170f3.jpg']}"
,2C3CCAAG2KH517261,2019,21900,Chrysler,300,Touring L RWD *Ltd Avail*,Automatic,6,19664,Velvet Red Pearlcoat,517261,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/c542bf1d3da14088bf390ef2e7a2917e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/acc084258a814b219d5bebf6ba64bb5c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9ec8bc36519f41ca89d535a4e36d3a48.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d2f4d55af4f7473d847159e26d757387.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/21c13b34f87849c5bce7bd6fdee73ed9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/12e95e966d8345a290dff7db7cd0e2ae.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/993c5680bee4414aa9beebf8a207a5bc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7513f5e6e5c14e1ba846799368e77daa.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f2c5f0e53efb4beb89aea72b50b1a89e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4cfc5fd84d424160885aecc1e934b692.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c4d79706154c4ae2b773634bb0827b96.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/82db3cfdea694be988599f663daa6ca6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3d7f8c477449471f96c4a3650172d5ee.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5f7b0fb084b54bff923947edbeb22701.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/757b83a08ad94101a2dd640d043f0e16.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/702e8366c31441dda8bbd5005d989d1f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7318d1d2ac86406caff98cd7afe009e3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1f3dfd488d2d42cab3e17e4995c29415.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0a8ee2eacb924981a52c40be013b08da.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c785061c3acf4ea29a0f7cffad94020c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0144eeaf15094873ba497750b82c57ed.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6138796b58764713bcee92a718278142.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/64ebf0abfbcb47e79d368bff450a5124.jpg']}"
,5FPYK3F14KB004370,2019,26900,Honda,Ridgeline,Sport AWD,Automatic,6,52516,Crystal Black Pearl,004370,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/ec0f56c23f9b49adb62a5e43e5c9d94f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/71a0c17c4f0d41c6a88236ac257f31b0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a9139b8452fd488787d67d5076d84df9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/cdc770139cd245cfa67c487853177fb4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/417e7b2d1c5e463899cf5e045f848428.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f19694abc2444216b7026fc2ce6b629c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/2e98e2786b744e02aac9ee6859d4e633.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d15c7fdabfc949ed94d29cbe62df0148.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e5116cb62b1f47409a99f193834cf885.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ef9dd6e5895d41d4b095313b468915f3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/bf16631178f64fac95489f972a5a908b.jpg']}"
,JF2SKAXC2MH505877,2021,27500,Subaru,Forester,Touring CVT,Variable,4,29557,Crystal Black Pearl,505877,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/94a8a92eaeb1446c8e709f83693da347.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f18a9ce0c4d840f1ad0ba3c72f5984a1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e15fefc089b34ed59d503a0ecd1df622.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1c0b4f031fa84a0a82340ef009b8f1c9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c34dc85de4764b65a2a9d09af1ae413b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/dac89643cfea4e39b7b97c3c379bcde6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0224e8052a85477ca508f21a8df4369e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6766979851d645f3a12eaee1a360bcf2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/204012949a3c4b288dd3cee159aa0170.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1ec8e79fc38a4547b53a68f683fdf247.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5349794372ab49308ec300a629ad40ae.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/bfa07b9167484dbfb3aa56c6229d31f1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/fd140c2ff3f3421c9c80f16f0a8a6cb5.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0a4d8b00c3b745879309b44ef447c6a4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c01ba96d78fc4651998a621c0ff360f1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/df9529248090455b96c1acfae519d94f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/00cff90010b54ee1876ae5ee684f61be.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f47baa7efa9f48b29f0b8f3352a04db2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/dbae6a2f70f24000b444f98c821096c4.jpg']}"
,1N4AL2AP9AN502096,2010,8500,Nissan,Altima,4dr Sdn I4 CVT 2.5 SL,Variable,4,75476,Winter Frost Pearl,502096,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/413075e1094d41f38a3b8a551f59dd5c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6fce8475d0b445588e5ac23411f22355.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1ce1135acc9447cba6bf0ab7dd377114.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/62c6959d896b44b690007b458ec4f04d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/00ef54d7e29849b6b03d2b07f243d756.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d9269b9d902c4902a71b7eb8b1d8d576.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5fffb81f043040618d67568da15dd2f1.jpg']}"
,1FMJK1K55DEF66740,2013,16900,Ford,Expedition EL,2WD 4dr Limited,Automatic,8,92796,Tuxedo Black Metallic,F66740,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/9372d41a063c47fea9b5429e7f3120fa.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/bdf32414ab2242b1b14eebdbc19ad1b8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6c46f388602c4e90b7ccb018cdb9fad6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8a75abbfe3d54fbc89a30ca21c230a4d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d220aad1b54449369f0d595a0a616167.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/74368df3942249b1ab27a5c56c17ef40.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/472d7f365eb04dcba1c4d38eeb176ee0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ca14607117ec43449ffd07273b9d39a0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/dc5c8962539f49c1a0b842cf00245e2b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/eecacd48743b4a20825518f9839a52a8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/940902e89d644db4af6aea3ab2217a26.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/75e9cb193cec4f22a2752994e1c88117.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/502bf5b7ed994cda90fdad032e3e2746.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/da02fe994ef44b3f97a7d0ecd0dde1f4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/15dd53b054af420db33a198065dc1778.jpg']}"
,5GAERCKW2KJ207289,2019,24500,Buick,Enclave,FWD 4dr Premium,Automatic,6,49732,Pepperdust Metallic,207289,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/f2bcf7726f4f4a40ad9dd6a4c4f4bcf4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/fdec0ec405c740cc89f461b9e36de0f1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a4ed04aea2a74d5792c6e68577c95f69.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5db3b01ed3c543fd871eb91a973932e1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b88404a3c661418396677bdbdf2999a3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/79deee7c6feb40dba59bae89e0ee73a0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/2286950224d941e29148ed682fe9df46.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8ae3998183b745158f778ba20da6c8d2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1697eb5ad1b34ca6b0a8d51920da291a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c2d56c0db34344a0ba40a9489765b4cc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e46f1ee53c954505a0c061b01e7eabd4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6149d631eb4740dc925523df68a1793a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f9cb09f6269946b89399d11d9f9389af.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/99c44d5b23634392b8b2df034e75f7e6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/01ce165ab6da4414a4450a29705d4c7d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b3ef463326d44db48fe5b69292592364.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ea230caa4a5640ca8349ff70742935da.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c63d4c6ff9ea4ad388225be0768ded89.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/de449f1a3a2043bcac6e1beee3c12b6c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9dd536bec2c84d15ada9844c84960db1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/cdeb2889a82a4b7180281b7befcf7cd3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d946014bb1c04816affce4508a440f63.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6cf0b5d1c2a344d5b6e152b45fc0d7f3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3c18fd55206a425db8f88fc712700ef6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8f6c5d3cb0764960bb64b1a92bef003e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5c3c85da74484041a1370b5419e99ec0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/18ccf0753e2b421eb85ff8af6b0dbb6f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c83ad59db3ea4c758278cd7d8a0effc0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f8ddaac0fae04ae099d93f5947e2ca12.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b1a51451f68244e8841a79b317d70752.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f7bc2074fd8b40fd8d50f09886ff91a5.jpg']}"
